userID,appid,rating
3847,463250,3
1483,205190,4
161,575800,5
1801,671840,4
3404,934220,4
2088,423580,4
2357,446460,4
430,365800,4
3886,932480,3
3803,552240,4
2187,204530,4
2204,462940,5
598,609170,4
2837,235360,4
56,502480,5
2398,1020340,4
772,405900,2
3495,908020,4
3113,602090,5
3494,535280,5
3145,432290,4
1658,718840,4
398,529130,3
3273,768480,3
2356,622830,5
1933,6420,5
2358,430890,5
3339,608000,5
3941,877020,2
1313,677650,5
3955,401910,5
1627,275830,4
3944,403660,2
3337,731520,4
1654,586790,2
1409,314010,5
227,714570,3
1244,850910,2
1907,47400,2
1117,575670,2
1449,449180,2
3268,24790,3
1350,252170,4
15,268500,5
709,3910,3
1925,547920,4
2915,745970,4
2450,707770,2
2184,814990,4
1653,786940,5
1978,251810,4
1198,512070,5
801,772420,3
88,667000,4
987,612150,5
2359,368470,4
1840,957440,1
675,350090,5
3911,400380,4
2873,892930,3
3815,17480,1
460,1017800,4
982,649360,5
2023,543100,4
3315,431960,4
1280,312720,4
1925,690280,5
1570,235320,5
3632,539380,5
2833,300630,5
2423,630360,3
2967,773580,5
3635,492530,4
1849,760030,5
3899,951220,4
339,688930,5
2349,746770,4
1767,722660,5
3692,34640,5
1437,326590,1
3014,671840,5
3073,769940,1
144,492850,3
180,757200,2
2492,370360,4
3774,404040,1
2339,438140,4
717,10270,4
2159,420440,3
204,808420,4
203,762110,5
3503,947300,4
3854,711460,5
454,434530,2
1793,55000,4
721,542170,4
1180,227220,2
1990,968470,5
1616,689180,5
1875,1009070,3
1346,9420,5
2674,1001980,3
1755,200150,5
2453,391490,5
2837,623920,4
1499,553260,4
661,602160,5
1119,298050,3
43,809280,5
2705,536750,4
3813,204530,5
740,764390,5
2586,972080,4
3712,819910,4
1989,370060,4
1286,567130,3
1294,758370,4
879,450590,5
3291,684040,4
2760,888610,3
1291,20540,3
487,811520,3
208,351720,2
212,528450,5
1714,557460,3
2722,993680,4
51,663170,4
3944,870010,1
3886,572410,3
3162,492850,2
2481,816030,3
2554,703750,3
1691,46570,2
2587,340450,5
319,738590,5
2718,1029470,2
2929,313620,3
319,431860,5
3876,698640,5
1327,573790,3
2552,1007440,3
3442,821320,4
2681,298050,5
2423,347400,5
3828,525330,1
831,660160,5
2342,740250,4
1991,509910,3
1288,769730,4
922,253860,5
194,406850,3
2126,858040,5
361,496490,5
427,361950,4
982,909570,2
1992,254060,4
3582,20710,4
258,850230,1
2779,6800,4
287,965320,2
1089,634200,2
2281,1001430,3
2614,319230,3
3870,280220,4
3830,16810,3
3754,615020,5
1579,496300,1
3408,375840,5
3061,340150,1
3941,343090,3
1371,2910,4
2871,936610,4
2430,526450,2
1427,600500,5
917,351870,4
1912,480500,3
429,814570,4
3508,970200,1
1,451950,4
1169,302490,4
880,570,5
1072,619150,3
2525,696410,4
3209,845530,5
264,671170,5
2943,753110,4
555,573700,3
2273,416340,4
140,820580,3
3033,704140,2
2170,1004000,4
1412,853140,2
2053,745530,5
2023,684650,5
1010,367550,1
771,750440,5
301,273770,2
2662,526450,5
3662,719640,4
1696,307920,2
2349,884960,3
2122,1052010,4
2070,397210,5
3533,459880,2
2949,581980,4
3004,340150,5
1628,224500,4
3213,657740,5
1838,459040,4
1183,924560,5
79,9500,5
3390,271730,3
609,584800,3
2,764370,5
1875,475470,5
334,510380,4
1860,73210,4
569,216670,5
1083,410290,4
1546,432330,2
211,632000,2
916,105450,5
390,328600,5
2951,841440,4
1528,1002230,3
1050,827670,5
3266,655420,5
2598,356420,5
1524,1013190,5
3356,518140,5
3089,517170,4
1302,972940,3
529,791400,2
1594,306620,4
2428,258200,4
2920,955410,3
3197,886230,5
3216,780440,4
2776,311290,4
3398,845510,2
1680,6420,1
3651,984360,4
2245,688170,4
953,433830,3
3702,7770,5
948,676830,4
2695,769410,4
2652,762650,5
378,431030,2
254,291860,5
691,3720,4
3803,891470,4
331,787040,5
1170,441850,5
1683,341770,4
1051,632050,4
1265,956060,5
1278,397870,4
28,1029860,5
2958,417200,4
1528,567200,4
490,329970,2
2678,751500,5
3970,244410,5
111,388440,2
3505,620190,2
2009,722340,4
1967,935910,2
3805,351330,5
1701,724110,5
2924,408440,4
909,365890,5
3713,290870,2
2102,375460,5
2581,600280,3
2725,306020,5
3927,635270,4
141,487740,2
1025,515260,5
3070,665040,5
2378,351990,5
1734,446000,4
3269,42940,3
3078,938520,3
1889,386330,5
1622,639280,4
2816,404530,4
713,236850,4
1133,49300,4
3872,545000,3
2168,537520,5
116,202860,2
3324,828090,2
1280,398840,1
235,411870,3
3611,575090,5
1496,575340,4
2593,514470,5
3722,692830,5
652,257770,4
885,200370,5
888,247020,5
3009,785850,5
3681,735240,3
360,706880,4
3978,651010,5
3071,619430,4
1891,271550,4
198,369310,4
2238,508200,5
1840,1041710,4
2090,378420,4
1209,798830,2
2100,575340,5
3931,370050,1
1349,251530,5
561,332880,4
3093,459680,5
1190,42890,1
1215,2900,5
1414,694480,5
1984,559100,4
845,562420,5
176,745400,4
674,878350,2
1145,375840,2
3350,404640,5
1709,502730,5
3020,666570,5
2301,756980,4
2347,450850,4
2970,578690,3
1085,228440,3
3952,815280,2
1532,252170,5
1535,25980,2
2658,688400,4
1586,573670,2
892,873320,5
1855,711120,5
2431,906740,5
3361,248170,5
2031,892930,5
2129,11260,5
2520,956350,5
2820,910320,5
2838,915960,3
3547,65790,5
1550,397870,4
852,416320,5
1720,579040,4
1777,433700,3
2661,628060,4
2018,300760,4
1717,411120,4
1389,706380,5
2035,237950,5
2067,339210,4
1004,434500,4
1510,297060,4
909,780970,4
502,865250,4
1369,774091,5
3692,404270,2
1062,545600,5
1216,306630,4
3769,733070,4
2397,96900,4
2074,516740,5
3502,559280,4
2878,319270,1
1048,423580,5
219,725370,5
3998,796760,2
2999,711000,4
3223,12510,5
1422,418050,3
2467,8890,5
2895,827930,4
3783,338830,5
194,4460,4
2005,511500,1
980,882600,3
967,465660,5
3116,623860,4
3633,551780,4
2889,597640,1
1309,618270,2
353,933700,3
886,420970,4
3641,775940,4
2232,938070,4
3599,688500,1
3182,510220,4
58,200990,5
1826,593970,3
2475,70900,4
353,887890,4
2880,657090,4
367,271240,1
2505,854860,3
2133,930480,5
1242,340150,4
2127,582330,5
564,699740,5
2987,679510,5
1276,916860,3
2404,63500,3
2743,237470,1
2307,378800,3
2732,467060,3
2154,390940,5
3615,276750,3
2492,690240,4
89,822900,2
1567,443970,3
2791,429540,3
2348,285350,4
2892,214730,5
2217,513590,4
3319,1053160,4
3021,740110,3
3901,491670,5
3896,375820,5
2266,885110,5
72,725540,5
2744,317380,3
3111,780330,4
2236,396090,5
2324,1008510,4
1765,940290,4
3861,241300,5
3058,654440,2
699,841440,5
1685,542680,5
3006,46260,5
1555,652150,4
1427,772420,5
2339,528250,4
493,341930,4
2596,605200,5
1596,91200,2
3764,263280,5
3536,490040,3
1179,397400,1
369,73220,2
1082,740240,4
3528,712970,4
2068,1000100,4
132,453690,2
722,873320,5
2199,777650,5
2430,622510,5
1640,685340,2
341,258200,5
3160,795230,5
3908,602320,2
1155,567080,3
1686,593490,4
1746,700910,5
1494,742340,4
2094,27600,5
3873,704510,4
2674,1029920,4
542,697850,2
167,408440,5
1919,816030,3
21,233840,4
230,510550,2
2638,400080,3
3738,819210,4
3235,454870,4
283,391000,1
2503,268870,5
1213,850910,5
1786,214150,4
1437,282560,4
1613,865170,4
1402,469800,5
3009,340210,1
3639,922080,4
823,853850,3
3504,216110,4
3275,635200,5
2650,689700,4
366,380210,4
3839,817390,4
440,879620,5
2752,802130,3
2933,567130,5
1317,372080,5
82,312400,2
1354,407190,3
2004,314970,2
3046,459640,5
1816,260380,5
1839,608190,4
2866,488950,2
2440,614030,5
3489,854890,5
451,892470,4
824,694480,1
1917,861720,4
250,734490,4
3043,733530,3
1893,730420,3
1840,534430,4
3048,24780,5
3653,468350,2
3533,635200,4
3729,741590,3
1535,248510,2
108,562430,4
1509,9350,5
3513,585770,5
3008,1640,5
2823,1013280,5
1021,830890,5
1661,263800,1
2395,651560,4
2819,967170,5
2399,513510,3
432,312630,4
34,757200,4
1525,572580,3
837,490300,4
3933,359230,4
802,978910,5
1805,764550,5
1066,463120,4
2287,361130,2
1837,689700,2
3125,690830,4
734,738840,5
2769,462070,4
2242,658850,5
891,688170,5
1357,1046030,4
607,352220,4
270,410990,4
1140,937920,4
2314,935910,1
2783,513820,2
324,306200,5
2304,262280,3
3740,871710,4
3217,1500,4
1690,1006270,2
3172,672630,4
2691,46360,2
3153,340220,5
571,1000100,4
2934,1015240,5
1136,294790,4
2340,340150,4
3577,931150,4
193,638200,5
2528,490910,1
690,815280,4
34,974070,5
1780,881520,5
975,330620,2
789,356420,3
133,974240,5
3874,843920,1
2529,534010,5
1733,921450,4
2018,60700,4
2602,784000,4
334,304730,5
1713,843510,4
1027,662540,2
1562,528450,2
2189,988650,5
1281,504750,3
3678,336300,4
65,649360,1
4000,202710,1
3159,238930,4
665,894450,3
267,268400,5
2565,787440,4
38,878350,5
1103,505550,3
2860,870730,5
3636,1025740,5
2230,739170,4
3302,455960,5
1327,970650,4
1904,625580,2
1119,546900,5
813,408880,2
2205,718220,4
2178,760030,2
1023,447100,4
3324,48240,5
1197,438920,5
2972,355420,5
3011,832520,2
1586,450190,1
3010,643900,4
2984,667920,3
2387,671560,5
2698,397190,3
2146,578670,4
737,671200,5
3361,430930,3
1528,607050,5
1183,555370,5
2641,321410,5
1717,577230,5
3861,603150,5
233,705020,4
2520,555230,2
3879,200960,4
3962,599510,4
3510,521750,3
1308,1051500,4
3162,662540,4
2562,938310,2
12,578690,5
1384,794940,2
3503,816610,3
1333,244750,2
2370,463170,2
1603,834050,4
258,496530,5
2088,950830,4
470,209950,4
3733,377900,5
113,796840,2
600,266840,5
533,559280,5
1013,689020,4
534,703510,1
1590,400240,5
1244,906170,4
3781,767240,2
3065,392110,3
1156,792660,5
3488,221540,1
2888,888610,4
127,4580,2
1889,531530,4
1430,246620,5
758,497570,3
498,42960,1
2696,889520,5
2347,577230,5
2369,371010,4
2206,325470,3
784,348490,5
1441,40100,4
37,769950,4
458,459640,5
3650,855480,5
2155,788420,2
3055,675560,4
2194,355100,5
3161,2920,4
104,367340,4
2128,663170,4
1038,682660,5
2327,4760,5
2714,617480,2
1223,80200,5
3170,218510,5
2609,941390,4
1745,804460,4
3121,499330,5
348,372430,4
1198,590380,2
2273,396800,1
1699,814650,4
3072,251810,3
3087,575090,1
3947,503960,5
1174,285130,4
3236,501320,2
2180,887370,5
2835,891950,2
3616,369990,5
3528,914700,4
834,837780,4
2437,293160,4
2017,507300,3
524,335100,3
1489,539750,2
2160,793760,5
1951,242570,5
133,349450,4
3545,510630,4
2502,36300,4
346,897550,5
3676,342890,4
36,347060,4
3168,889080,2
2362,925900,2
2085,676720,3
2667,849620,5
3720,663210,4
2056,335830,4
1062,204560,1
2928,530320,3
205,652340,5
588,719640,2
941,327910,3
788,73170,2
3018,1040450,5
189,707770,4
876,704640,5
1088,430930,2
977,749710,5
2708,371140,4
3973,666340,4
538,573740,3
600,8800,4
53,777650,5
2158,860280,5
3804,283270,4
583,473560,4
3171,7830,1
3768,751200,4
2605,829420,2
3036,757210,5
4000,1018060,4
3818,436690,4
703,709670,4
1623,676490,3
1826,485970,3
1108,956210,4
1071,600430,4
2464,514500,4
3031,617480,2
2547,809460,3
467,648340,3
1639,350210,2
1937,347590,4
1540,761030,4
2849,1014360,4
2167,528110,2
911,753560,5
2404,1002230,4
490,314240,5
3259,566700,4
3011,232050,3
23,937920,4
3177,513330,3
3858,528110,4
1983,963680,4
3591,556310,5
318,665350,1
721,824190,4
958,773530,3
157,6840,5
1532,510320,5
2715,450150,4
2809,449460,5
2096,716050,1
827,567800,3
3305,251710,5
561,529610,5
2970,236850,5
1117,350110,4
3486,929910,4
1769,1014900,3
2513,843510,5
1540,1019920,4
251,408860,4
1225,883270,4
1877,585310,4
3061,867250,2
1076,717370,5
1541,646270,4
2458,226120,5
3725,756790,4
3736,436940,4
3187,795140,4
520,787040,5
2943,614130,4
1795,793250,2
3347,461690,2
3115,708760,4
943,521790,4
1093,746770,4
332,297570,3
3821,911090,1
3523,546900,5
2536,699870,5
251,686260,1
3412,358750,1
228,546870,2
2657,796490,5
3261,459880,3
2829,393660,4
1814,285110,3
2387,560770,5
3746,392470,2
1837,25900,4
2729,218040,5
794,307670,1
3718,615970,1
2179,628030,3
2636,956350,5
2886,390920,1
562,536230,1
1822,899020,4
3057,837940,5
2179,287200,4
2930,555370,3
1048,801660,4
490,455960,4
875,342580,5
